train/loss,train/explained_variance,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/clip_range,rollout/ep_len_mean,train/n_updates,train/approx_kl,episode/mean_reward_10,train/clip_fraction,time/total_timesteps,episode/reward,time/time_elapsed,train/learning_rate,time/fps,rollout/ep_rew_mean,evaluation/improvement_vs_baseline,train/value_loss,eval/reward_improvement_pct,eval/waiting_improvement_pct,eval/best_mean_reward,eval/mean_reward,eval/rl_avg_waiting,eval/mean_ep_length,eval/rl_reward,eval/throughput_improvement_pct,eval/rl_avg_throughput
-0.06833179295063019,0.9998639225959778,,-0.9413472414016724,-0.011457626067567617,0.2,,1560,0.012352465,62.4615873,0.115966796875,100000,62.544444,,0.0005,,,38.40320764983123,0.012533478635305073,4.074634214969128,0,,62.915873,0.0,80.0,46.969047619047636,0,0.0
-0.09750697016716003,0.9998425245285034,200,-1.0180617859587073,-0.0037150023854337633,0.2,80.0,1592,0.08014321,62.051587299999994,0.174560546875,102400,62.05873,43061,0.0005,2,62.451587280000005,37.494724250844165,0.03793458563814056,,,,,,,,,
-0.05879686027765274,0.9998593926429749,210,-1.0323766535148025,-0.007018818068900146,0.2,80.0,1672,0.013953623,62.34730139999999,0.11669921875,107520,62.201587,45163,0.0005,2,62.388730079999995,38.14997144766464,0.024875254210201092,,,,,,,,,
-0.04355093836784363,0.999142587184906,,-0.8424932826310396,-0.001863020377641078,0.2,,1712,0.004959059,62.56158739999999,0.025146484375,110000,62.487302,,0.0005,,,38.624789188238644,0.02695191224484006,4.2962155317952115,0,47.06904761904762,63.015873,0.0,80.0,47.06904761904762,0,0.0
-0.07439889013767242,0.9996976256370544,220,-0.9462153101339936,-0.004538997862255201,0.2,80.0,1752,0.008776874,62.5630158,0.07763671875,112640,62.55873,47382,0.0005,2,62.51501579999999,38.62795425576821,0.05565302389732096,,,,,,,,,
-0.055996235460042953,0.9998296499252319,230,-0.713640259578824,-0.009265485685318708,0.2,80.0,1832,0.0027106707,62.768730399999995,0.02099609375,117760,62.887302,49487,0.0005,2,62.615444499999995,39.08377937535176,0.05297400198469404,,,,,,,,,
-0.044023916125297546,0.9998415112495422,,-0.723356538452208,-0.0036334233154775575,0.2,,1872,0.0034541138,62.607301500000005,0.037109375,120000,62.730159,,0.0005,,,38.72608309299388,0.05203477469331119,4.26456105796293,0,,63.001587,0.0,80.0,47.05476190476192,0,0.0
-0.05912630259990692,0.9998419880867004,240,-1.0151299526914954,-0.016827298008138314,0.2,80.0,1912,0.007184931,62.3644443,0.127685546875,122880,62.187302,51714,0.0005,2,62.58387302000001,38.18795691122685,0.05402588577999268,,,,,,,,,
-0.06563351303339005,0.9998257756233215,250,-1.1626107320189476,-0.01003630859486293,0.2,80.0,1992,0.01789169,62.2173016,0.076416015625,128000,62.273016,53829,0.0005,2,62.19530152,37.86191617895335,0.016574768495047465,,,,,,,,,
-0.06024540960788727,0.9997280836105347,,-1.1294908113777637,-0.020501129649346694,0.2,,2024,0.008070166,62.39015869999999,0.125,130000,62.344444,,0.0005,,,38.24493521736076,0.0299878468940733,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
-0.059435877948999405,0.9996569752693176,260,-1.0602893931791186,-0.003014279078342952,0.2,80.0,2072,0.010591448,62.505873099999995,0.104248046875,133120,62.787302,56053,0.0005,2,62.17901582,38.5013367086382,0.011430759113864042,,,,,,,,,
-0.051754385232925415,0.9998169541358948,270,-1.2221470829099417,-0.009886063504382037,0.2,80.0,2152,0.008885564,62.235873100000006,0.077392578125,138240,62.430159,58159,0.0005,2,62.30673013,37.90306715320773,0.014935505838366225,,,,,,,,,
0.0033916234970092773,0.999897301197052,,-0.9341827174648643,-0.014719792736286763,0.2,,2184,0.0073307203,62.495873100000004,0.048095703125,140000,62.630159,,0.0005,,,38.47917857695561,0.05377422535093501,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
-0.0008241795003414154,0.9999311566352844,280,-0.7358789080753922,-0.005954735344857909,0.2,80.0,2232,0.0015241589,62.75873019999999,0.0234375,143360,62.787302,60382,0.0005,2,62.51301587999999,39.0616208005065,0.04962378957134206,,,,,,,,,
-0.00497012585401535,0.9998496770858765,290,-0.7553559429943562,-0.003159304993459955,0.2,80.0,2312,0.007969539,62.68444430000001,0.023193359375,148480,62.701587,62486,0.0005,2,62.691015849999985,38.89701712507042,0.0489771930151619,,,,,,,,,
0.0006324909627437592,0.9999299049377441,,-0.7109290678054094,-0.008040216169320047,0.2,,2336,0.006213641,62.6987302,0.068115234375,150000,62.415873,,0.0005,,,38.92867201041086,0.04897151334444061,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
-0.026214923709630966,0.9999651908874512,300,-0.8158371159806848,-0.007810857678123284,0.2,80.0,2392,0.014211865,62.6487302,0.084716796875,153600,62.873016,64711,0.0005,2,62.68815870999999,38.81788135199781,0.04646315492573194,,,,,,,,,
-0.06207007169723511,0.9997833967208862,310,-1.4337268862873316,-0.012677366932621226,0.2,80.0,2472,0.025709856,61.46158749999999,0.18212890625,158720,61.615873,66818,0.0005,2,62.36401589,36.187394924732736,0.024918564609833993,,,,,,,,,
-0.062234342098236084,0.9997950792312622,,-1.0042577721178532,-0.00704491812211927,0.2,,2496,0.009770927,62.4301588,0.1484375,160000,62.315873,,0.0005,,,38.333567965672536,0.017110280416090973,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
-0.0395931750535965,0.9997825622558594,320,-1.1457840176299214,0.006833101331721991,0.2,80.0,2552,0.046482198,62.1087301,0.270751953125,163840,62.073016,69041,0.0005,2,62.1624444,37.62134201955549,0.018732646640273742,,,,,,,,,
-0.12299817055463791,0.9997773170471191,330,-1.4584226943552494,-0.02826409018598497,0.2,80.0,2632,0.051537827,61.33444440000001,0.210693359375,168960,60.801587,71144,0.0005,2,61.89258727999999,35.90566956949923,0.013117861431965139,,,,,,,,,
-0.10174079239368439,0.9997496604919434,,-1.573801139369607,-0.025588870732462965,0.2,,2656,0.019843347,60.99587290000001,0.18310546875,170000,61.030159,,0.0005,,,35.15545838140131,0.03931753624056,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
-0.07632718980312347,0.9998943209648132,340,-1.147539653815329,-0.020665121410274878,0.2,80.0,2712,0.018827232,62.1958729,0.171875,174080,61.930159,73360,0.0005,2,61.61444442,37.814434183314624,0.024383786811085884,,,,,,,,,
-0.055198825895786285,0.9999266266822815,350,-1.117949073202908,-0.01962521148379892,0.2,80.0,2792,0.014319291,62.420158900000004,0.189453125,179200,62.587302,75459,0.0005,2,62.204158719999995,38.31141005557125,0.021548799340962432,,,,,,,,,
-0.06774672120809555,0.9998760223388672,,-0.9758157730102539,-0.018837496507330798,0.2,,2808,0.014861175,62.4815872,0.1435546875,180000,62.530159,,0.0005,,,38.44752369161514,0.025765399150259327,4.169597636466038,0,,62.95873,0.0,80.0,47.01190476190478,0,0.0
-0.027398250997066498,0.9997936487197876,360,-1.0484958086162806,-0.007769955511321314,0.2,80.0,2872,0.009934844,62.423016,0.081298828125,184320,62.787302,77677,0.0005,2,62.48787304,38.317740855374275,0.022971406127908267,,,,,,,,,
-0.0871981605887413,0.9998189806938171,370,-1.483147444203496,-0.02550851134583354,0.2,80.0,2952,0.03701719,62.0244446,0.249267578125,189440,62.187302,79778,0.0005,2,62.336015880000005,37.434581098762024,0.016570878950005863,,,,,,,,,
-0.07322657108306885,0.9997643828392029,,-1.375095283612609,-0.005454309357446618,0.2,,2968,0.019357268,62.065872999999996,0.099365234375,190000,62.315873,,0.0005,,,37.526378693022,0.021399350138381124,4.169597636466038,0,,62.95873,0.0,80.0,47.01190476190478,0,0.0
-0.05951644480228424,0.9998093843460083,380,-1.0525817647576332,-0.007056097558233887,0.2,80.0,3032,0.012276129,62.5587302,0.135986328125,194560,62.815873,82046,0.0005,2,62.28744441999999,38.6184581668543,0.019039789360249415,,,,,,,,,
-0.021416330710053444,0.999905526638031,390,-0.8297656383365393,-0.0007762436289340258,0.2,80.0,3112,0.008702204,62.790158600000005,0.095947265625,199680,62.85873,84172,0.0005,2,62.639015820000004,39.13126026308392,0.02032012188283261,,,,,,,,,
-0.03719046339392662,0.9999383091926575,,-0.8568211914971471,-0.0038305254565784708,0.2,,3120,0.0064085834,62.761587199999994,0.1298828125,200000,62.873016,,0.0005,,,39.06795137872824,0.01473579519733903,4.169597636466038,0,,62.95873,0.0,80.0,47.01190476190478,0,0.0
0.007684445008635521,0.9999587535858154,400,-0.7696604486554861,-0.003805188105616253,0.2,80.0,3192,0.013093263,62.834444500000004,0.1416015625,204800,62.973016,86415,0.0005,2,62.78144436999999,39.22938954347221,0.015862397820455953,,,,,,,,,
-0.05501933395862579,0.999933660030365,410,-0.8161870064213872,-0.012935300910612568,0.2,80.0,3272,0.011223266,62.81444449999999,0.13916015625,209920,62.887302,88510,0.0005,2,62.81015872,39.18507328010696,0.018210405673016794,,,,,,,,,
-0.015404410660266876,0.9998951554298401,,-0.7746184812858701,-0.00834723717707675,0.2,,3280,0.0093825385,62.8201588,0.0927734375,210000,62.873016,,0.0005,,,39.19773510129437,0.011947355522352154,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
-0.05732624977827072,0.9999099373817444,420,-0.9585893508046865,0.0032157339592231438,0.2,80.0,3352,0.008473448,62.5158731,0.145263671875,215040,62.415873,90731,0.0005,2,62.76544448,38.52349484032082,0.0073119034568662755,,,,,,,,,
-0.03501532971858978,0.9998705983161926,,-0.7317257057875395,-0.00476709553913679,0.2,,3432,0.009836702,62.8744444,0.063720703125,220000,62.887302,,0.0005,,,39.318021848621335,0.01801727838392253,4.169597636466038,0,,62.95873,0.0,80.0,47.01190476190478,0,0.0
,,430,,,,80.0,,,62.85730159999999,,220160,62.787302,92952,,2,62.75387299,39.280036606640444,,,,,,,,,,
0.008384063839912415,0.9998812675476074,440,-0.6563377259299159,-0.01125172441243194,0.2,80.0,3512,0.006587312,62.9087302,0.1005859375,225280,62.973016,95052,0.0005,2,62.849587250000006,39.393992775745694,0.0454574384893931,,,,,,,,,
0.03244916722178459,0.9999603033065796,,-0.5718855918385088,0.0005054897046647966,0.2,,3592,0.004246111,62.92158730000001,0.0595703125,230000,63.015873,,0.0005,,,39.42248170723137,0.04319710915478936,4.2962155317952115,0,,63.015873,0.0,80.0,47.06904761904762,0,0.0
,,450,,,,80.0,,,62.91158720000001,,230400,62.915873,97272,,2,62.89758726,39.40032335396743,,,,,,,,,,
-0.01691621169447899,0.9999695420265198,460,-0.6758024087175727,-0.0041740861925063655,0.2,80.0,3672,0.015351474,62.91730160000001,0.078125,235520,62.873016,99374,0.0005,2,62.911587299999994,39.41298539673615,0.041228911009966396,,,,,,,,,
